object,r
Q9396,P127
Q459965,P127
Q741707,P127
Q368181,P127
Q467752,P127
Q19923099,P127
Q487907,P127
Q214763,P127
Q219508,P127
Q907311,P127
Q334204,P127
Q20800404,P127
Q501476,P127
Q156238,P127
Q312,P127
Q668737,P127
Q3295867,P127
Q58024,P127
Q3884,P127
Q5842736,P127
Q7414,P127
Q54173,P127
Q483551,P127
Q66,P127
Q487494,P127
Q2283,P127
Q329953,P127
Q182477,P127
Q1656230,P127
Q38076,P127
Q334800,P127
Q206921,P127
Q864407,P127
Q192314,P127
Q624375,P127
Q663596,P127
Q744149,P127
Q333718,P127
Q19681433,P127
Q739084,P127
Q675585,P127
Q37156,P127
Q194360,P127
Q2961234,P127
Q3511885,P127
Q483959,P127
Q804353,P127
Q1945295,P127
Q219635,P127
Q656165,P127
Q1159256,P127
Q478214,P127
Q742196,P155
Q19923099,P155
Q629998,P156
Q80978,P156
Q38928,P355
Q217583,P355
Q445007,P355
Q58024,P355
Q9396,P355
Q334800,P355
Q19681433,P749
Q3511885,P749
Q483959,P749
Q1852556,P749
Q668737,P749
Q219635,P749
Q217583,P1830
Q219635,P1830
Q3511946,P1830
Q54173,P1830
Q38928,P1830
Q2037125,P1830
Q970695,P1830
Q3295867,P1830
Q334204,P1830
Q58024,P1830
Q9396,P1830
Q192314,P1830
Q2376711,P1889
Q80978,P1889
Q19923099,P1889
Q1373493,P1889
Q1577587,P1889
Q458363,P1889
Q173395,P1889
