index,r1,r2
1,P366,P31
2,P31,P452
3,P1056,P31
4,P112,P112
5,P112,P127
6,P112,P169
7,P113,P113
8,P114,P114
9,P121,P1056
10,P121,P121
11,P127,P127
12,P169,P127
13,P749,P127
14,P1830,P127
15,P3320,P127
16,P155,P155
17,P155,P355
18,P166,P166
19,P169,P169
20,P169,P3320
21,P355,P199
22,P306,P1056
23,P355,P127
24,P355,P355
25,P361,P361
26,P400,P1056
27,P452,P452
28,P452,P2770
29,P463,P463
30,P1830,P749
31,P1056,P1056
32,P1344,P1344
33,P1454,P1454
34,P159,P159
35,P740,P159
36,P414,P361
37,P740,P740
38,P1056,P452
39,P625,P625
40,P17,P159
41,P793,P793
42,P452,P1454
43,P452,P176
44,P6379,P6379
45,P749,P749
46,P4950,P495
47,P740,P495
48,P1830,P1830
49,P112,P749
50,P131,P159
51,P5009,P5009
52,P355,P1830
53,P463,P361
